F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954672.mp3|Sinta-se feliz com a vitória que você ganha.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954705.mp3|Canabrava do Norte
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954706.mp3|Imbé
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954708.mp3|Rondon
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954713.mp3|Porto Xavier
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954730.mp3|As sete leis herméticas do caibalion
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954732.mp3|Tigrinhos
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954734.mp3|Primeira Cruz
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954760.mp3|Floreal
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954764.mp3|Eu comprei um frango e dois pato.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954785.mp3|Ela é cinco minutos a dois.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954786.mp3|Oratórios
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954787.mp3|Visou o gol e deu um chute certeiro
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954789.mp3|Cerro Negro
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954813.mp3|Recreio
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954816.mp3|Eu conheço ela
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954817.mp3|Pau-d'Arco
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954818.mp3|Calor para dezembro, calor para janeiro, frio forte em fevereiro.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33954819.mp3|Grão Mogol
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955089.mp3|Capela do Alto Alegre
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955091.mp3|Morto.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955093.mp3|Camilo, maravilhado, fez um gesto afirmativo.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955094.mp3|Essa festa virou um enterro
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955096.mp3|Nova Granada
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955117.mp3|Olindina
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955119.mp3|Tinha-me levantado cedo e tardava em preparar-me para existir.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955121.mp3|O riso tirou as mesas do restaurante.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955122.mp3|Não digo que se carpisse
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955223.mp3|De que forma poderia ela agora preparar as horríveis poções?
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955224.mp3|Barra do Choça
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955225.mp3|Aroeiras do Itaim
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_33955230.mp3|O equipamento de alarme automático do fogo é instalado em todos os assoalhos.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119091.mp3|Eu vou ler a documentação do Keras neste fim de semana.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119169.mp3|Eles montaram seus cavalos.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119174.mp3|Onde você mora? Gritou o menino? quando o cavaleiro partiu.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119180.mp3|Na origem?, a heroína deveria ser o “substituto não-viciante da morfina”.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119202.mp3|Estou preparando o Trevor!
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119206.mp3|Caça aos patos bravos
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119208.mp3|Feliz Natal meus queridos.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119211.mp3|Com a amizade deles
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22119215.mp3|Duas mulheres acariciam um canguru do bebê no parque.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498780.mp3|A esta hora da manhã?
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498781.mp3|Razão atrasada
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498782.mp3|Você não sabe se sua casa ainda não foi preparada?
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498783.mp3|Um snowboarder está descendo uma rampa em meio a neve.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498785.mp3|Não é possível distinguir entre as chamadas
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498786.mp3|Encontre horários de filmes para os teatros de referência.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498787.mp3|E você também.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498802.mp3|É a principal causa da civilização
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498805.mp3|Você está saindo
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498815.mp3|É muito inconveniente aumentar o salário
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498816.mp3|Eu ainda não sei
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_22498817.mp3|Um homem está se preparando para acertar uma bola de tênis.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930891.mp3|Não é bom que o burro não estremeça no estábulo.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930892.mp3|Tiago e Raul.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930930.mp3|Amazonina dos Santos Palheta
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930932.mp3|Os dados contidos nos arquivos podem ser modificados pela Área Telemática Comum.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930933.mp3|Antônio Cledeildo Soares Ferreira
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930936.mp3|Eu garanto
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930937.mp3|O que você espera
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930938.mp3|Antônio Nery da Silva
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24930942.mp3|Positivo.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307198.mp3|Mas hoje não.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307201.mp3|Um cão marrom corre em um campo com um cão preto e branco.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307204.mp3|Jaru
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307228.mp3|O cavalo branco.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307242.mp3|Antônio Lima Barreto
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307243.mp3|Eu só posso conseguir essa resposta
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25307257.mp3|A perícia indicou o suspeito pelo crime.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25308055.mp3|Leila, Augusto, Gerson e Rogério
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_25308056.mp3|Carlos Torres Moura
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_26759446.mp3|Aqueles que anseiam por sua pátria, pedem o caminho.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_26759449.mp3|Não, ele é fiel ao cão mestre.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_26759456.mp3|Estava no calendário em setembro.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24921444.mp3|Eu quero fazer doação.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24921446.mp3|Por isso, alheio, vou lendo
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24921448.mp3|Alan Johnny Freitas de Assis
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24921751.mp3|Antônio Modesto Ramos
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24921753.mp3|Abordagens inovadoras são essenciais para melhorar a situação.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922198.mp3|O infinito é uma coisa chata, nos dois sentidos da palavra.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922200.mp3|Almerio de Lima Pergentino Martins
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922201.mp3|Como páginas, meu ser.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922202.mp3|Você sabe disso bem o suficiente.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922203.mp3|Antônio Magalhaes da Silva
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922204.mp3|Eu tenho razão.
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922205.mp3|Antônio José Oliveira Maia
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24922207.mp3|Antônio José de Amorim Teobaldo
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24923267.mp3|Alzira da Silva Araújo
F:/Downloads/cv-corpus-17.0-2024-03-15-pt/clips\common_voice_pt_24923269.mp3|É apropriado, portanto, informar favoravelmente a aprovação modificadora.
